Task ID,Epic,PR Slice,Layer,Owner Role,Depends On,Atomic Change,Primary Files,Exact Code-Level Requirement,Acceptance Criteria,Test Command,Expected Evidence,Rollback Impact,Merge Independence,Priority
EMAIL-BE-063,Inbound Reply,PR-06 email-inbound-reply,Backend,Backend Engineer,EMAIL-BE-059,Implement In-Reply-To/References linking,backend/app/services/email_inbound_linking.py,Headers match previously stored EmailOutboundMetadata message_id_header to link ticket.,References link ticket.,pytest backend/tests/test_email_inbound_linking.py::test_references_header_links_to_outbound_metadata,Header match evidence.,No external impact.,yes,P1
EMAIL-BE-064,Inbound Reply,PR-06 email-inbound-reply,Backend,Backend Engineer,EMAIL-BE-059,Block subject-similarity auto-linking in V1,backend/app/services/email_inbound_linking.py,Subject similarity must never auto-link; unresolved/manual review only.,Subject-only fixture becomes unresolved.,pytest backend/tests/test_email_inbound_linking.py::test_subject_similarity_does_not_auto_link,Unresolved status.,No external impact.,yes,P0
EMAIL-BE-065,Inbound Reply,PR-06 email-inbound-reply,Backend,Backend Engineer,EMAIL-BE-059,Create inbound message ticket comment/timeline item,"backend/app/services/email_inbound.py, backend/app/services/timeline_service.py",Linked inbound customer email updates last_customer_message and timeline without exposing unsafe HTML.,Linked inbound shows in timeline and reopens waiting_customer ticket.,pytest backend/tests/test_email_inbound_linking.py::test_linked_inbound_updates_ticket_and_timeline,Ticket/timeline assertions.,Can delete inbound row in test.,yes,P1
EMAIL-BE-066,Inbound Reply,PR-06 email-inbound-reply,Backend,Backend Engineer,EMAIL-BE-059,Add inbound unresolved review queue,"backend/app/api/admin_email.py, backend/app/services/email_inbound.py",Unlinked inbound emails are stored with status unresolved and exposed via admin endpoint.,Unresolved inbound can be listed by admin.,pytest backend/tests/test_email_inbound_linking.py::test_unresolved_inbound_listed_for_review,API response evidence.,Read-only endpoint.,yes,P1
EMAIL-BE-067,Inbound Reply,PR-06 email-inbound-reply,Backend,Backend Engineer,EMAIL-BE-066,Add manual link endpoint for unresolved inbound,backend/app/api/admin_email.py,Admin can link unresolved inbound email to a ticket with audit note.,Manual link changes status and timeline.,pytest backend/tests/test_email_inbound_linking.py::test_manual_link_unresolved_inbound_requires_note,Audit output.,Manual unlink endpoint optional; can revert DB row.,no,P2
EMAIL-FE-068,Admin UI,PR-07 frontend-admin-email-config,Frontend,Frontend Engineer,EMAIL-BE-019,Add Email provider option to account management safely,"webapp/src/routes/accounts.tsx, webapp/src/lib/types.ts",Expose Email as separate provider path without breaking WhatsApp/Telegram/SMS form behavior.,Existing account page still renders existing providers; Email tab appears.,npm --prefix webapp run test -- accounts,Component test/screenshot.,Feature flag hides Email UI.,yes,P1
EMAIL-FE-069,Admin UI,PR-07 frontend-admin-email-config,Frontend,Frontend Engineer,EMAIL-BE-019,Add Email account list panel,webapp/src/routes/email-accounts.tsx or accounts.tsx,"Display from_email, market, provider, verification, health, readiness, active status.",Admin sees Email account list and empty state.,npm --prefix webapp run test -- email-accounts,Rendered list test.,Route can be hidden.,yes,P1
EMAIL-FE-070,Admin UI,PR-07 frontend-admin-email-config,Frontend,Frontend Engineer,EMAIL-BE-020,Add Email account create form,webapp/src/routes/email-accounts.tsx,"Form collects display name, market, from_email, from_name, reply_to, return_path, region, configuration_set, secret_ref, priority.",Submit calls create endpoint and shows validation errors.,npm --prefix webapp run test -- email-accounts,Form submit test.,UI only; backend remains source of truth.,yes,P1
EMAIL-FE-071,Admin UI,PR-07 frontend-admin-email-config,Frontend,Frontend Engineer,EMAIL-BE-022,Add Email account edit form,webapp/src/routes/email-accounts.tsx,"Edit mutable fields, active state, fallback, and priority; identity changes clearly warned.",Edit submits PATCH and refreshes list.,npm --prefix webapp run test -- email-accounts,Edit flow test.,UI rollback by hiding route.,yes,P1
EMAIL-FE-072,Admin UI,PR-07 frontend-admin-email-config,Frontend,Frontend Engineer,EMAIL-BE-024,Render Email readiness checklist,"webapp/src/routes/email-accounts.tsx, webapp/src/lib/uxCopy.ts",Show missing readiness items from API with novice-friendly copy.,Missing items render exact labels.,npm --prefix webapp run test -- readiness,Readiness snapshot.,Read-only UI.,yes,P1
EMAIL-FE-073,Admin UI,PR-07 frontend-admin-email-config,Frontend,Frontend Engineer,EMAIL-BE-025,Add verification refresh action,webapp/src/routes/email-accounts.tsx,Button calls verification endpoint; displays pending/verified/failed result.,Button invokes API and updates badge.,npm --prefix webapp run test -- verification,Action test.,Button can be hidden.,yes,P2
EMAIL-FE-074,Admin UI,PR-07 frontend-admin-email-config,Frontend,Frontend Engineer,EMAIL-BE-026,Add health check action,webapp/src/routes/email-accounts.tsx,Button calls health-check endpoint and displays healthy/degraded/offline with explanation.,Health check response renders correctly.,npm --prefix webapp run test -- health-check,UI action evidence.,Button can be hidden.,yes,P2
EMAIL-FE-075,Admin UI,PR-07 frontend-admin-email-config,Frontend,Frontend Engineer,EMAIL-BE-027,Add test-send modal,webapp/src/routes/email-accounts.tsx,Modal requires test recipient and explicit confirmation; displays provider_message_id/result.,Test-send modal blocks empty recipient and renders success.,npm --prefix webapp run test -- test-send,Modal test.,Feature flag hides button.,no,P2
EMAIL-FE-076,Admin UI,PR-07 frontend-admin-email-config,Frontend,Frontend Engineer,EMAIL-BE-028,Add suppression list UI,webapp/src/routes/email-accounts.tsx or suppressions.tsx,Display suppressed emails with reason/source and deactivate action with note.,Suppression list renders and deactivate requires note.,npm --prefix webapp run test -- suppression,Component test.,UI hidden; backend stays.,yes,P2
EMAIL-FE-077,Agent UI,PR-08 frontend-agent-email-reply,Frontend,Frontend Engineer,EMAIL-BE-032,Extend frontend send payload type,"webapp/src/lib/api.ts, webapp/src/lib/types.ts","OutboundSendPayload supports optional subject, to_email, cc, bcc, html_body, attachment_ids without breaking legacy sends.",Typecheck passes and legacy callsites compile.,npm --prefix webapp run typecheck,Typecheck output.,Revert type extension.,yes,P1
EMAIL-FE-078,Agent UI,PR-08 frontend-agent-email-reply,Frontend,Frontend Engineer,"EMAIL-FE-077, EMAIL-BE-032",Add Email mode to CustomerReplyPanel,webapp/src/components/operator/CustomerReplyPanel.tsx,"When selected channel=email, render From/To/Subject fields and readiness warning; non-email UI unchanged.",Email mode renders only when capability customer_sendable.,npm --prefix webapp run test -- CustomerReplyPanel,Component snapshot.,Feature flag/hide email option.,yes,P1
EMAIL-FE-079,Agent UI,PR-08 frontend-agent-email-reply,Frontend,Frontend Engineer,EMAIL-FE-078,Show precise Email blocking reasons in reply panel,"webapp/src/components/operator/CustomerReplyPanel.tsx, webapp/src/lib/uxCopy.ts",Map missing tokens to operator-readable messages; disable send button.,Missing reasons appear and send disabled.,npm --prefix webapp run test -- CustomerReplyPanel,UI assertion.,Read-only UI.,yes,P1
EMAIL-FE-080,Agent UI,PR-08 frontend-agent-email-reply,Frontend,Frontend Engineer,EMAIL-FE-078,Add Email external send confirmation copy,webapp/src/components/operator/CustomerReplyPanel.tsx,"Require explicit confirmation for Email external send, including target and subject review.",Send disabled until confirmation checked.,npm --prefix webapp run test -- CustomerReplyPanel,Interaction test.,UI rollback safe.,yes,P1
EMAIL-FE-081,Agent UI,PR-08 frontend-agent-email-reply,Frontend,Frontend Engineer,"EMAIL-FE-078, EMAIL-BE-034",Submit Email payload from reply panel,webapp/src/components/operator/CustomerReplyPanel.tsx,"Send Email payload with channel=email, body, subject, to_email, cc/bcc if provided; refresh case detail/timeline/queue.",Mutation sends expected JSON.,npm --prefix webapp run test -- CustomerReplyPanel,Mock API call payload.,Revert UI submit branch.,yes,P1
EMAIL-FE-082,Timeline UI,PR-08 frontend-agent-email-reply,Frontend,Frontend Engineer,EMAIL-BE-058,Render Email timeline events,"webapp/src/components/operator/*Timeline*.tsx, webapp/src/lib/uxCopy.ts",Display queued/sent/delivered/bounced/complained/delayed/inbound reply with safe labels.,Timeline renders email event fixtures.,npm --prefix webapp run test -- timeline,Timeline snapshot.,Serializer remains; UI rollback safe.,yes,P2
EMAIL-FE-083,Agent UI,PR-08 frontend-agent-email-reply,Frontend,Frontend Engineer,EMAIL-FE-078,Add Email recipient fallback display,webapp/src/components/operator/CustomerReplyPanel.tsx,Display resolved customer email from capability or ticket; show missing customer email guidance.,Missing email message is visible.,npm --prefix webapp run test -- CustomerReplyPanel,UI assertion.,UI-only.,yes,P2
EMAIL-BE-084,Observability,PR-09 observability-release-smoke,Backend,Backend Engineer,EMAIL-BE-038,Add channel-specific queue summary counts,"backend/app/api/admin.py, backend/app/services/outbound_semantics.py",Admin queue summary exposes pending/dead/processing by channel including email.,Queue summary shows email counts separately.,pytest backend/tests/test_email_observability.py::test_queue_summary_includes_email_breakdown,Queue JSON evidence.,Read-only endpoint change.,yes,P1
EMAIL-BE-085,Observability,PR-09 observability-release-smoke,Backend,Backend Engineer,EMAIL-BE-050,Add Email metrics counters,backend/app/services/observability.py or metrics module,"Expose counters for email_queued, email_sent, email_failed, email_delivered, email_bounced, email_complained, email_inbound_linked/unresolved.",Metrics include email counters when enabled.,pytest backend/tests/test_email_observability.py::test_email_metrics_registered,Metrics scrape fixture.,Metrics can be disabled.,yes,P2
EMAIL-OPS-086,Ops Runbook,PR-09 observability-release-smoke,Ops,DevOps Engineer,EMAIL-BE-027,Update SES/DNS preflight runbook,"docs/ops/EMAIL_PROVIDER_SETUP_SES.md, docs/ops/EMAIL_OUTBOUND_RUNBOOK.md","Document SES identity, DKIM/SPF/DMARC, region receiving support, SNS/S3 inbound path, secret_ref setup.",Runbook includes copy-paste checklist and owner boundary.,manual review,Reviewed runbook signoff.,Documentation rollback only.,yes,P1
EMAIL-OPS-087,Ops Runbook,PR-09 observability-release-smoke,Ops,DevOps Engineer,EMAIL-BE-049,Update Email-only rollback runbook,"docs/ops/EMAIL_OUTBOUND_RUNBOOK.md, 11_release_change_management/rollback_plan.md",Explicit rollback commands stop email only and assert pending email not dead-lettered.,Runbook contains verification steps and expected queue invariants.,manual review + smoke script rollback section,Rollback checklist.,Documentation rollback only.,yes,P0
EMAIL-OPS-088,Smoke Test,PR-09 observability-release-smoke,Ops,QA Engineer,"EMAIL-FE-081, EMAIL-BE-084",Add full admin-to-agent Email smoke script,15_automation_scripts/smoke_email_full_e2e.sh,"Script runs health, account readiness, test send, ticket capability, send, queue summary, timeline check, rollback invariant with JSON evidence.",Script exits nonzero if required evidence missing.,bash 15_automation_scripts/smoke_email_full_e2e.sh,Evidence directory with JSON files.,Script does not change code.,no,P1
EMAIL-OPS-089,Smoke Test,PR-09 observability-release-smoke,Ops,QA Engineer,EMAIL-BE-050,Add delivery webhook mock smoke,15_automation_scripts/smoke_email_full_e2e.sh,Script can post signed/HMAC mock delivery/bounce/complaint events in test environment and verify timeline/suppression.,Mock delivery and bounce tests pass against staging/test.,bash 15_automation_scripts/smoke_email_full_e2e.sh --mock-webhooks,Webhook evidence JSON.,Test-only mode.,no,P1
EMAIL-OPS-090,Smoke Test,PR-09 observability-release-smoke,Ops,QA Engineer,EMAIL-BE-059,Add inbound reply mock smoke,15_automation_scripts/smoke_email_full_e2e.sh,Script can post inbound fixture and verify deterministic link or unresolved state.,Inbound fixture links via plus-address and subject-only becomes unresolved.,bash 15_automation_scripts/smoke_email_full_e2e.sh --mock-inbound,Inbound evidence JSON.,Test-only mode.,no,P1
EMAIL-QA-091,Quality Gate,PR-09 observability-release-smoke,QA,QA Engineer,all PR slices,Add task-to-test traceability verification,"15_automation_scripts/validate_pack.py, 07_quality_testing/task_to_test_traceability_v1_4.csv",Every atomic task maps to at least one test command or manual review evidence.,validate_pack.py fails if task count < 80 or trace coverage missing.,python 15_automation_scripts/validate_pack.py,Validation output.,Validation script only.,yes,P0
EMAIL-QA-092,Quality Gate,PR-09 observability-release-smoke,QA,QA Engineer,all PR slices,Add final PR merge gate checklist,06_engineering_work_plan/final_codex_execution_gate_v1_4.md,"Checklist blocks merge if provider-scope, rollback safety, webhook auth, frontend UI, smoke evidence, and tests are missing.",Reviewer can use checklist directly in PR.,manual review,Signed checklist.,Documentation rollback only.,yes,P0
